Date (Night before the day of),Bed time,Awake time,Total Time
2020-04-27,3:00,10:00,7:00
2020-04-28,2:00,10:50,8:50
2020-04-29,3:00,10:50,7:50
2020-04-30,4:00,9:20,5:20
2020-05-01,2:20,9:10,6:50
2020-05-02,4:00,12:00,8:00
2020-05-03,1:45,7:45,6:00
2020-05-04,1:15,7:45,6:30
2020-05-05,3:00,10:45,7:45
2020-05-06,1:30,9:30,8:00
2020-05-07,2:30,8:30,6:00
2020-05-08,1:45,7:30,5:45
2020-05-09,3:00,12:00,9:00
2020-05-10,2:00,8:30,6:30
2020-05-11,3:15,9:50,6:35
2020-05-12,2:15,12:00,9:45
2020-05-13,1:50,7:50,6:00
2020-05-14,1:00,9:20,8:20
2020-05-15,1:30,10:40,9:10
2020-05-16,3:00,12:00,9:00
2020-05-17,2:45,9:30,6:45
2020-05-18,2:00,12:10,10:10
2020-05-19,2:30,7:00,4:30
2020-05-20,2:00,11:20,9:20
2020-05-21,1:45,8:30,6:45
2020-05-22,1:45,8:30,6:45
2020-05-23,2:05,10:45,8:40
2020-05-24,1:30,9:20,7:50
2020-05-25,2:45,9:40,6:55
2020-05-26,1:45,10:30,8:45
2020-05-27,3:45,10:15,6:30
2020-05-28,3:15,12:00,8:45
2020-05-29,2:30,8:00,5:30
2020-05-30,2:45,10:00,7:15
2020-05-31,3:00,12:00,9:00
2020-06-01,3:00,10:15,7:15
2020-06-02,3:45,11:30,7:45
2020-06-03,3:50,9:10,5:20
2020-06-04,2:45,10:50,8:05
2020-06-05,3:00,10:10,7:10
2020-06-06,0:45,9:00,8:15
2020-06-07,1:45,9:30,7:45
2020-06-08,2:45,9:45,7:00
2020-06-09,1:45,9:00,7:15
2020-06-10,3:30,10:50,7:20
2020-06-11,3:30,11:00,7:30
2020-06-12,3:30,10:45,7:15
2020-06-13,3:40,10:50,7:10
2020-06-14,0:30,8:15,7:45
2020-06-15,2:30,6:15,3:45
2020-06-16,1:30,8:45,7:15
2020-06-17,1:45,10:20,8:35
2020-06-18,2:30,10:20,7:50
2020-06-19,1:00,8:45,7:45
2020-06-20,2:45,9:15,6:30
2020-06-21,1:40,9:40,8:00
2020-06-22,1:15,8:20,7:05
2020-06-23,0:50,10:50,10:00
2020-06-24,1:00,9:20,8:20
2020-06-25,1:00,9:00,8:00
2020-06-26,2:20,9:10,6:50
2020-06-27,2:50,11:00,8:10
2020-06-28,5:00,11:55,6:55
2020-06-29,2:15,8:10,5:55
